id,PCode,Description,Charge,ServiceCharge,SCPcorTk,Vat,VatPcOrTk,LessAmount,RefFee,RefFeePcOrTk,ReportFee,ReportFeePcOrTk,CollectionFee,CollectionFeePcOrTk,OthersFee,OthersFeePcOrTk,ReportDeliverDuration,OutTest,CanChangePrice,ShowDoctorCode,CanGiveLess,ReportFileName,IsAdjustAmt,IsShow,UserName,BranchId,SubSubDeptName,SubDeptName,DeptName,VaqGroup,VaqName,VaqPrice,VaqVat,VaqComm,VaqStatus,OutdoorReportGroup,AccountGroup,DiscountGroup,IndoorBillGroup,Unit,Status,CorporateLess,AcCode,AcName,HonoriumGroup,CreatedAt,CanChangeQty,LessType,CanEdit,ReportGroupName,StickerName,LabReportFileName,UserLog,IpdRefFee,IpdRefFeePcOrTk
808,12,Procedure Charge,14000,0,%,0,Tk.,0,0,%,0,Tk.,0,%,0,%,0,0,1,0,1,Indoor,0,1,admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Indoor,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor (AF),Indoor,59:21.0,1,Tk.,0,Indoor,Indoor,Indoor,,0,Tk.
809,13,OPD Ticket,200,0,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,OPD Ticket,0,1,admin,1,OPD Ticket,OPD Ticket,OPD Ticket ,0,0,0,0,0,0,Clinical,0,0,Non Hospital Income,1,1,1,3101150001,Income from OPD Ticket,None,00:00.0,0,Tk.,1,NULL,NULL,NULL,,0,Tk.
810,14,Canteen Bill,0,0,Tk.,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,N/A,0,1,admin,1,Canteen,Canteen,Canteen,0,0,0,0,0,0,Clinical,0,0,Non Hospital Income,1,1,1,3101060001,Income From Canteen,None,00:00.0,0,Tk.,1,NULL,NULL,NULL,,0,Tk.
811,15,Phototherapy Charge (Per Hours/Day) ,1200,10,%,0,%,0,0,%,0,%,0,%,0,%,0,0,1,1,1,Indoor,1,1,SYFUL,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Clinical,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,00:00.0,1,%,0,NULL,Indoor,Indoor,,0,Tk.
813,17,Blood Transfusion (Packages),3000,0,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Emer,0,1,Urmi,1,Emergency,Emergency,Emergency,0,0,0,0,0,0,Emergency,0,0,Non Hospital Income,1,1,0,3101100001,Income From Medicine (Outdoor),Emergency,00:00.0,1,Tk.,1,EMERGENCY,EMERGENCY,NULL,,0,Tk.
814,18,Minor Dressing,200,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,1,0,1,Indoor,0,1,ashraful,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Emergency,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,00:00.0,1,Tk.,0,Dressing Charge,Indoor,Indoor,,0,Tk.
815,19,Stitch Removal  if dreasing done,100,10,%,0,%,0,0,%,0,%,0,%,0,%,0,0,0,0,1,Indoor,0,1,admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Indoor,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,00:00.0,0,%,0,NULL,Indoor,Indoor,,0,Tk.
816,20,HDU Oxygen Charge  ,1800,10,%,0,%,0,0,%,0,%,0,%,0,%,0,0,0,0,1,Indoor,0,1,admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Indoor,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor (AF),Indoor,00:00.0,0,%,0,Oxygen,Indoor,Indoor,,0,Tk.
4035,21,Peritoneal fluid ADA,1100,0,Tk.,0,Tk.,0,0,%,0,Tk.,0,%,0,%,0,0,0,1,0,Biochemistry,1,1,tufazzal,1,Biochemistry Test,LabTest,Diagnostic,0,0,0,0,0,0,Biochemistry,0,0,Non Hospital Income,1,1,0,3101020001,Income from Diagnostic (Outdoor),Path,07:15.4,0,%,1,Biochemistry,Biochemistry,Biochemistry,,0,Tk.
1847,22,S. Creatinine,500,0,Tk.,0,Tk.,25,0,%,0,Tk.,0,%,0,%,0,0,1,0,1,Biochemistry,1,1,abm ashraf,1,Biochemistry Test,LabTest,Diagnostic,0,0,0,0,0,0,Biochemistry,0,0,Non Hospital Income,1,1,1,3101020001,Income from Diagnostic (Outdoor),Path,03:35.6,0,%,1,Biochemistry,Biochemistry,Biochemistry,,0,Tk.
4036,23,Bed Demurrage,5000,10,%,0,Tk.,0,0,%,0,Tk.,0,%,0,%,0,0,1,1,1,Indoor,1,1,Admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Indoor,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,44:02.7,0,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
4054,24,Femoral Venous Catheter Charge ,5000,10,%,0,Tk.,0,0,%,0,Tk.,0,%,0,%,0,0,0,1,1,Indoor,1,1,Admin,1,General OT,Indoor,General OT,0,0,0,0,0,0,General OT,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,06:43.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
179,29,Advance Amount Collection,0,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Clinical,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
2862,30,"Anti Hsv-IgG, IgM",2000,0,Tk.,0,Tk.,25,0,%,0,Tk.,0,%,0,%,0,0,0,0,0,Immunology,0,1,Admin,1,Immunology Test,LabTest,Diagnostic,0,0,0,0,0,0,Immunology,Non Hospital Income,0,Non Hospital Income,1,1,1,3101020001,Income from Diagnostic (Outdoor),Path,14:27.4,0,%,1,Immunology,Immunology,Immunology,,0,Tk.
4003,31,Serum C3,1200,0,Tk.,0,Tk.,0,0,%,0,Tk.,0,%,0,%,3,0,0,0,0,Immunology,0,1,abm ashraf,1,Immunology Test,LabTest,Diagnostic,0,0,0,0,0,0,Immunology,0,0,Non Hospital Income,1,1,1,3101020001,Income from Diagnostic (Outdoor),Path,02:41.8,0,%,1,Immunology,Immunology,Immunology,,0,Tk.
4004,32,Serum C4,1200,0,Tk.,0,Tk.,0,0,%,0,Tk.,0,%,0,%,3,0,0,0,0,Immunology,0,1,abm ashraf,1,Immunology Test,LabTest,Diagnostic,0,0,0,0,0,0,Immunology,0,0,Non Hospital Income,1,1,1,3101020001,Income from Diagnostic (Outdoor),Path,03:22.0,0,%,1,Immunology,Immunology,Immunology,,0,Tk.
2871,39,Laparoscopic Machine Charge,3000,10,%,0,Tk.,0,0,%,0,Tk.,0,%,0,%,0,0,0,1,1,Indoor,1,1,alim,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Clinical,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,37:11.7,0,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
2876,40,Foleys Catheter ,400,10,%,0,Tk.,0,0,%,0,Tk.,0,%,0,%,0,0,1,1,1,Indoor,1,1,Admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Clinical,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,00:18.9,0,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
3886,41,Admission Fee,1000,10,%,0,Tk.,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,abm ashraf,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Indoor,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor (AF),Indoor,29:44.7,0,Tk.,0,Indoor,Indoor,Indoor,,0,Tk.
4008,42,CU-T Charge,350,10,%,0,Tk.,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Indoor,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,26:56.9,1,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
4011,43,Ascitic /Pleural Fluid Aspiration,3000,0,Tk.,0,Tk.,0,0,%,0,Tk.,0,Tk.,2500,Tk.,0,0,0,0,1,Biochemistry,0,1,Admin,1,Biochemistry Test,LabTest,Diagnostic,0,0,0,0,0,0,Biochemistry,Non Hospital Income,0,Non Hospital Income,1,1,1,3101020001,Income from Diagnostic (Outdoor),Path,46:51.2,0,%,1,Biochemistry,Biochemistry,Biochemistry,,0,Tk.
192,63,O2 2-5 liter (Per hour),150,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Clinical,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,36:46.7,1,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
190,90,ICU Bio Pap Machine Charge (Per Day),2000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,OMEDUL,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Clinical,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor (AF),Indoor,36:46.7,1,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
178,95,Admission Charge (ICU/HDU/CCU/VIP Cabin),1000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,Indoor,Indoor,INDOOR,N/A,N/A,0,0,0,0,Clinical,Hospital Income,Indoor,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
619,99,Normal delivary ,5000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Indoor,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,36:46.7,0,%,0,NULL,Indoor,Indoor,,0,Tk.
189,101,ICU CV-Catheterization,3000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,1,1,Indoor,0,1,OMEDUL,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Clinical,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor (AF),Indoor,36:46.7,0,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
399,103,Post Operative Bed Charge,1000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,1,0,1,Indoor,0,1,admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,General OT,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
270,104,Mejor-1 Pancreato-Jejunostomy with Cholecystectomy,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
394,105,Lapcol Machine Charge,3500,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,0,0,0,0,0,0,General OT,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
290,107,Mejor-1 Branchial Sinus Excision,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
388,133,Minor- Frozen Shoulder (MUA),5000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
180,148,Admission Charge (Cabin),500,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,1,0,1,Indoor,0,1,abm ashraf,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Clinical,0,0,Hospital Income,1,1,1,3101020001,Income from Diagnostic (Outdoor),Indoor,36:46.7,0,Tk.,0,Ambulance,Indoor,Indoor,,0,Tk.
3951,150,Cir. Eosinophil,250,0,Tk.,0,Tk.,25,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Hematology,0,1,Admin,1,Hematology Test,LabTest,Diagnostic,0,0,0,0,0,0,Hematology,Non Hospital Income,0,Non Hospital Income,1,1,1,3101020001,Income from Diagnostic (Outdoor),Path,54:37.5,0,%,1,Hematology,Hematology,Hematology,,0,Tk.
4068,187,Dialysis Set Bill,1800,0,Tk.,0,Tk.,0,0,%,0,Tk.,0,%,0,%,0,0,0,1,1,Dialysis,1,1,admin,1,Dialysis,Dialysis,Dialysis,0,0,0,0,0,0,Labortary,0,0,Non Hospital Income,1,1,1,3101050001,Income From Dialysis (Outdoor),None,24:51.1,0,Tk.,1,Dialysis ,Dialysis ,NULL,,0,Tk.
275,188,Mejor-1 Mastectomy,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
278,189,Mejor-1 Nephrolithotomy,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
279,190,Mejor-1 Choledochotomy,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
280,191,Mejor-1 Sub Total Thyroidectomy,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
281,192,Mejor-1 Total Thyroidectomy,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
282,193,Mejor-1 Tympanoplasty,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
283,194,Mejor-1 Superficial Parotidectomy,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
284,195,Mejor-1 Neck Dissection,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
285,196,Mejor-1 Cystic Hygroma Excision,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
286,197,Mejor-1 Modified Radical Mastoidectomy,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
287,198,Mejor-1 Radical Mastoidectomy,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
288,199,Mejor-1 Nasopharyngeal Fibroma Excision,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
289,200,Mejor-1 UPPP,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
274,201,Mejor-1 Vagotomy with Gastro-Jejunostomy,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
273,202,Mejor-1 Nephrectomy,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
276,204,Mejor-1 MRM-Modified Radical Mastectomy,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
272,205,Mejor-1 Repair of Perforation,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
277,206,Mejor-1 Whipple's Procedure,15000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
295,212,OT Charge - GA,4000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,1,0,1,Indoor,0,1,Admin,1,General OT,Indoor,INDOOR,0,0,0,0,0,0,General OT,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,36:46.7,1,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
386,214,Minor- Perineal Tear Repair,5000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
387,215,Labour Charge,5000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,1,0,1,Indoor,0,1,Admin,1,General OT,Indoor,INDOOR,0,0,0,0,0,0,General OT,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,36:46.7,1,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
257,216,Stitching Charge (Per Stitch),200,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,admin,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Indoor,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,36:46.7,1,Tk.,0,NULL,Indoor,Indoor,,0,Tk.
392,217,Minor- Dislocation Sholder Under L/A,5000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
393,218,Minor- Plaster Long Arm/Long Leg,5000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,0,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
211,219,Medical Board (Per Consultancy),2000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,1,0,1,Indoor,0,1,nafij,1,Indoor,Indoor,INDOOR,0,0,0,0,0,0,Indoor,0,0,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,Consultant Fee ,Indoor,Indoor,,0,Tk.
265,220,Specialized- Joint Replacement,20000,10,%,0,%,0,0,%,0,Tk.,0,%,0,%,0,0,0,0,1,Indoor,0,1,Admin,1,General OT,Indoor,General OT,N/A,N/A,0,0,0,0,General OT,Hospital Income,Indoor,Hospital Income,1,1,1,3101010001,Income from Indoor,Indoor,36:46.7,0,Tk.,0,NULL,NULL,NULL,,0,Tk.
3928,221,Eye OT Charge,7000,0,Tk.,0,Tk.,0,0,%,0,Tk.,0,%,0,%,0,0,0,1,1,Eye,1,1,admin,1,Eye,EYE,EYE,0,0,0,0,0,0,General OT,0,0,Non Hospital Income,1,1,1,3101120001,Income From Eye,OUTDOOR,14:30.7,0,Tk.,1,NULL,NULL,NULL,,0,Tk.
